,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
0,Matchpoint - Tennis Championships,31.49," Simulation, Sports",5.0,2022-07-07,Mostly Positive,0.78,19
1,Neon White,19.99," Action, Adventure, Indie",8.0,2022-06-16,Overwhelmingly Positive,0.98,3870
2,F1® 22,49.99," Racing, Sports",8.0,2022-07-01,Mixed,0.65,4297
3,Cuphead - The Delicious Last Course,6.79," Action, Indie",9.0,2022-06-30,Overwhelmingly Positive,0.96,2560
4,Monster Hunter Rise: Sunbreak,32.99, Action,7.0,2022-06-30,Mixed,0.67,1841
5,OUTRIDERS WORLDSLAYER UPGRADE,32.99," Action, Adventure, RPG",7.0,2022-06-30,Mostly Negative,0.35,342
6,Capcom Fighting Collection,32.99, Action,8.0,2022-06-24,Very Positive,0.93,250
7,Starship Troopers: Terran Command,23.79, Strategy,7.0,2022-06-16,Very Positive,0.87,3499
8,Teenage Mutant Ninja Turtles: Shredder's Revenge,22.49," Action, Adventure, Casual, Indie",8.0,2022-06-16,Very Positive,0.92,5671
9,The Quarry,54.99, Adventure,7.0,2022-06-10,Mostly Positive,0.77,2271
10,Hardspace: Shipbreaker,29.99, Simulation,6.0,2022-05-24,Very Positive,0.89,12153
11,Kao the Kangaroo,24.99," Action, Adventure, Casual",7.0,2022-05-27,Very Positive,0.82,276
12,Arma Reforger,24.99," Action, Simulation, Strategy, Early Access",6.0,2022-05-17,Mixed,0.6,5567
13,Sniper Elite 5,44.99," Action, Adventure",7.0,2022-05-26,Mostly Positive,0.74,4006
14,V Rising,15.49," Action, Adventure, Massively Multiplayer, Early Access",7.0,2022-05-17,Very Positive,0.88,37051
15,King Arthur: Knight's Tale,31.99," RPG, Strategy",7.0,2022-04-26,Very Positive,0.82,2851
16,Achilles: Legends Untold,15.49," Action, Indie, RPG, Early Access",5.0,2022-05-12,Mostly Positive,0.7,247
17,We Were Here Forever,14.99," Adventure, Casual, Indie",8.0,2022-05-10,Very Positive,0.89,4327
18,Eiyuden Chronicle: Rising,12.99," Action, Adventure, Indie, RPG",7.0,2022-05-10,Very Positive,0.88,564
19,Warhammer 40000: Chaos Gate - Daemonhunters,34.99," RPG, Strategy",8.0,2022-05-05,Mostly Positive,0.77,4541
20,Trek to Yomi,16.79," Action, Adventure",7.0,2022-05-05,Mixed,0.68,920
21,Rogue Legacy 2,21.99," Action, Adventure, Indie, RPG",9.0,2022-04-28,Very Positive,0.89,8787
22,The Stanley Parable: Ultra Deluxe,19.99," Adventure, Casual, Indie",9.0,2022-04-27,Very Positive,0.93,13302
23,eFootball 2022,0.0," Free to Play, Simulation, Sports",4.0,2021-09-30,Mostly Negative,0.25,36545
24,Dune: Spice Wars,24.99," Strategy, Early Access",8.0,2022-04-26,Very Positive,0.81,4242
25,Postal 4: No Regerts,30.99," Action, Adventure",2.0,2022-04-20,Mostly Positive,0.78,6702
26,LEGO® Star Wars™: The Skywalker Saga,39.99," Action, Adventure",8.0,2022-04-05,Very Positive,0.92,22642
27,Weird West,30.99," Action, Adventure, Indie, RPG, Simulation",8.0,2022-03-31,Mostly Positive,0.73,1537
28,Anno: Mutationem,19.49," Action, Adventure, Indie, RPG",8.0,2022-03-17,Mostly Positive,0.73,2713
29,Tiny Tina's Wonderlands,54.99," Action, Adventure, RPG",8.0,2022-06-23,Mostly Positive,0.76,1950
